Gene_Original	Gene_Query	Status	UniProt_ID	Entry_Name	Curacao	Nome_Proteina	Gene_Primario_UniProt	Sinonimos	Tamanho_aa	Link_UniProt
LILRB2	LILRB2	Mapeado	Q8N423	LIRB2_HUMAN	Swiss-Prot (Reviewed)	Leukocyte immunoglobulin-like receptor subfamily B member 2	LILRB2	ILT4, LIR2, MIR10	597	https://www.uniprot.org/uniprotkb/Q8N423/entry
SSR1	SSR1	Mapeado	P43307	SSRA_HUMAN	Swiss-Prot (Reviewed)	Translocon-associated protein subunit alpha	SSR1	TRAPA	286	https://www.uniprot.org/uniprotkb/P43307/entry
AKAP13	AKAP13	Mapeado	Q12802	AKP13_HUMAN	Swiss-Prot (Reviewed)	A-kinase anchor protein 13	AKAP13	BRX, HT31, LBC	2813	https://www.uniprot.org/uniprotkb/Q12802/entry
RPS21	RPS21	Mapeado	P63220	RS21_HUMAN	Swiss-Prot (Reviewed)	Small ribosomal subunit protein eS21	RPS21		83	https://www.uniprot.org/uniprotkb/P63220/entry
RPL7	RPL7	Mapeado	P18124	RL7_HUMAN	Swiss-Prot (Reviewed)	Large ribosomal subunit protein uL30	RPL7		248	https://www.uniprot.org/uniprotkb/P18124/entry
XAF1	XAF1	Mapeado	Q6GPH4	XAF1_HUMAN	Swiss-Prot (Reviewed)	XIAP-associated factor 1	XAF1	BIRC4BP, XIAPAF1	301	https://www.uniprot.org/uniprotkb/Q6GPH4/entry
VIM	VIM	Mapeado	P08670	VIME_HUMAN	Swiss-Prot (Reviewed)	Vimentin	VIM		466	https://www.uniprot.org/uniprotkb/P08670/entry
TRIM69	TRIM69	Mapeado	Q86WT6	TRI69_HUMAN	Swiss-Prot (Reviewed)	E3 ubiquitin-protein ligase TRIM69	TRIM69	RNF36	500	https://www.uniprot.org/uniprotkb/Q86WT6/entry
SERPINB1	SERPINB1	Mapeado	P30740	ILEU_HUMAN	Swiss-Prot (Reviewed)	Leukocyte elastase inhibitor	SERPINB1	ELANH2, MNEI, PI2	379	https://www.uniprot.org/uniprotkb/P30740/entry
RPS7	RPS7	Mapeado	P62081	RS7_HUMAN	Swiss-Prot (Reviewed)	Small ribosomal subunit protein eS7	RPS7		194	https://www.uniprot.org/uniprotkb/P62081/entry
CSNK1A1	CSNK1A1	Mapeado	P48729	KC1A_HUMAN	Swiss-Prot (Reviewed)	Casein kinase I isoform alpha	CSNK1A1		337	https://www.uniprot.org/uniprotkb/P48729/entry
GLUL	GLUL	Mapeado	P15104	GLNA_HUMAN	Swiss-Prot (Reviewed)	Glutamine synthetase	GLUL	GLNS	373	https://www.uniprot.org/uniprotkb/P15104/entry
PYGL	PYGL	Mapeado	P06737	PYGL_HUMAN	Swiss-Prot (Reviewed)	Glycogen phosphorylase, liver form	PYGL		847	https://www.uniprot.org/uniprotkb/P06737/entry
NCOA7	NCOA7	Mapeado	Q8NI08	NCOA7_HUMAN	Swiss-Prot (Reviewed)	Nuclear receptor coactivator 7	NCOA7	ERAP140, ESNA1	942	https://www.uniprot.org/uniprotkb/Q8NI08/entry
EIF5B	EIF5B	Mapeado	O60841	IF2P_HUMAN	Swiss-Prot (Reviewed)	Eukaryotic translation initiation factor 5B	EIF5B	IF2, KIAA0741	1220	https://www.uniprot.org/uniprotkb/O60841/entry
MRPS23	MRPS23	Mapeado	Q9Y3D9	RT23_HUMAN	Swiss-Prot (Reviewed)	Small ribosomal subunit protein mS23	MRPS23		190	https://www.uniprot.org/uniprotkb/Q9Y3D9/entry
CDC42BPB	CDC42BPB	Mapeado	Q9Y5S2	MRCKB_HUMAN	Swiss-Prot (Reviewed)	Serine/threonine-protein kinase MRCK beta	CDC42BPB	KIAA1124	1711	https://www.uniprot.org/uniprotkb/Q9Y5S2/entry
CXCL16	CXCL16	Mapeado	Q9H2A7	CXL16_HUMAN	Swiss-Prot (Reviewed)	C-X-C motif chemokine 16	CXCL16	SCYB16, SRPSOX	254	https://www.uniprot.org/uniprotkb/Q9H2A7/entry
GOLIM4	GOLIM4	Mapeado	O00461	GOLI4_HUMAN	Swiss-Prot (Reviewed)	Golgi integral membrane protein 4	GOLIM4	GIMPC, GOLPH4, GPP130	696	https://www.uniprot.org/uniprotkb/O00461/entry
NDUFS1	NDUFS1	Mapeado	P28331	NDUS1_HUMAN	Swiss-Prot (Reviewed)	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	NDUFS1		727	https://www.uniprot.org/uniprotkb/P28331/entry
ENO1	ENO1	Mapeado	P06733	ENOA_HUMAN	Swiss-Prot (Reviewed)	Alpha-enolase	ENO1	ENO1L1, MBPB1, MPB1	434	https://www.uniprot.org/uniprotkb/P06733/entry
DNAJB6	DNAJB6	Mapeado	O75190	DNJB6_HUMAN	Swiss-Prot (Reviewed)	DnaJ homolog subfamily B member 6	DNAJB6	HSJ2, MRJ, MSJ1	326	https://www.uniprot.org/uniprotkb/O75190/entry
SMOX	SMOX	Mapeado	Q9NWM0	SMOX_HUMAN	Swiss-Prot (Reviewed)	Spermine oxidase	SMOX	C20orf16, SMO	555	https://www.uniprot.org/uniprotkb/Q9NWM0/entry
TOMM5	TOMM5	Mapeado	Q8N4H5	TOM5_HUMAN	Swiss-Prot (Reviewed)	Mitochondrial import receptor subunit TOM5 homolog	TOMM5	C9orf105, TOM5	51	https://www.uniprot.org/uniprotkb/Q8N4H5/entry
HK2	HK2	Mapeado	P52789	HXK2_HUMAN	Swiss-Prot (Reviewed)	Hexokinase-2	HK2		917	https://www.uniprot.org/uniprotkb/P52789/entry
GBP5	GBP5	Mapeado	Q96PP8	GBP5_HUMAN	Swiss-Prot (Reviewed)	Guanylate-binding protein 5	GBP5		586	https://www.uniprot.org/uniprotkb/Q96PP8/entry
CCL2	CCL2	Mapeado	P13500	CCL2_HUMAN	Swiss-Prot (Reviewed)	C-C motif chemokine 2	CCL2	MCP1, SCYA2	99	https://www.uniprot.org/uniprotkb/P13500/entry
CASP1	CASP1	Mapeado	P29466	CASP1_HUMAN	Swiss-Prot (Reviewed)	Caspase-1	CASP1	IL1BC, IL1BCE	404	https://www.uniprot.org/uniprotkb/P29466/entry
PIK3CD	PIK3CD	Mapeado	O00329	PK3CD_HUMAN	Swiss-Prot (Reviewed)	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	PIK3CD		1044	https://www.uniprot.org/uniprotkb/O00329/entry
PGK1	PGK1	Mapeado	P00558	PGK1_HUMAN	Swiss-Prot (Reviewed)	Phosphoglycerate kinase 1	PGK1	PGKA	417	https://www.uniprot.org/uniprotkb/P00558/entry
LAMP1	LAMP1	Mapeado	P11279	LAMP1_HUMAN	Swiss-Prot (Reviewed)	Lysosome-associated membrane glycoprotein 1	LAMP1		417	https://www.uniprot.org/uniprotkb/P11279/entry
LAMP2	LAMP2	Mapeado	P13473	LAMP2_HUMAN	Swiss-Prot (Reviewed)	Lysosome-associated membrane glycoprotein 2	LAMP2		410	https://www.uniprot.org/uniprotkb/P13473/entry
ATG5	ATG5	Mapeado	Q9H1Y0	ATG5_HUMAN	Swiss-Prot (Reviewed)	Autophagy protein 5	ATG5	APG5L, ASP	275	https://www.uniprot.org/uniprotkb/Q9H1Y0/entry
NLRP3	NLRP3	Mapeado	Q96P20	NLRP3_HUMAN	Swiss-Prot (Reviewed)	NACHT, LRR and PYD domains-containing protein 3	NLRP3	C1orf7, CIAS1, NALP3, PYPAF1	1036	https://www.uniprot.org/uniprotkb/Q96P20/entry
PINK1	PINK1	Mapeado	Q9BXM7	PINK1_HUMAN	Swiss-Prot (Reviewed)	Serine/threonine-protein kinase PINK1, mitochondrial	PINK1		581	https://www.uniprot.org/uniprotkb/Q9BXM7/entry
XBP1	XBP1	Mapeado	P17861	XBP1_HUMAN	Swiss-Prot (Reviewed)	X-box-binding protein 1	XBP1	TREB5, XBP2	261	https://www.uniprot.org/uniprotkb/P17861/entry
SEC24B	SEC24B	Mapeado	O95487	SC24B_HUMAN	Swiss-Prot (Reviewed)	Protein transport protein Sec24B	SEC24B		1268	https://www.uniprot.org/uniprotkb/O95487/entry
CD14	CD14	Mapeado	P08571	CD14_HUMAN	Swiss-Prot (Reviewed)	Monocyte differentiation antigen CD14	CD14		375	https://www.uniprot.org/uniprotkb/P08571/entry
CARD9	CARD9	Mapeado	Q9H257	CARD9_HUMAN	Swiss-Prot (Reviewed)	Caspase recruitment domain-containing protein 9	CARD9		536	https://www.uniprot.org/uniprotkb/Q9H257/entry
GPR35	GPR35	Mapeado	Q9HC97	GPR35_HUMAN	Swiss-Prot (Reviewed)	G protein-coupled receptor 35	GPR35		309	https://www.uniprot.org/uniprotkb/Q9HC97/entry
ADCY7	ADCY7	Mapeado	P51828	ADCY7_HUMAN	Swiss-Prot (Reviewed)	Adenylate cyclase type 7	ADCY7	KIAA0037	1080	https://www.uniprot.org/uniprotkb/P51828/entry
ATG16L1	ATG16L1	Mapeado	Q676U5	A16L1_HUMAN	Swiss-Prot (Reviewed)	Autophagy-related protein 16-1	ATG16L1	APG16L	607	https://www.uniprot.org/uniprotkb/Q676U5/entry
CRB1	CRB1	Mapeado	P82279	CRUM1_HUMAN	Swiss-Prot (Reviewed)	Protein crumbs homolog 1	CRB1		1406	https://www.uniprot.org/uniprotkb/P82279/entry
CTLA4	CTLA4	Mapeado	P16410	CTLA4_HUMAN	Swiss-Prot (Reviewed)	Cytotoxic T-lymphocyte protein 4	CTLA4	CD152	223	https://www.uniprot.org/uniprotkb/P16410/entry
FNBP1	FNBP1	Mapeado	Q96RU3	FNBP1_HUMAN	Swiss-Prot (Reviewed)	Formin-binding protein 1	FNBP1	FBP17, KIAA0554	617	https://www.uniprot.org/uniprotkb/Q96RU3/entry
TNFAIP6	TNFAIP6	Mapeado	P98066	TSG6_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor-inducible gene 6 protein	TNFAIP6	TSG6	277	https://www.uniprot.org/uniprotkb/P98066/entry
TFPI	TFPI	Mapeado	P10646	TFPI1_HUMAN	Swiss-Prot (Reviewed)	Tissue factor pathway inhibitor	TFPI	LACI, TFPI1	304	https://www.uniprot.org/uniprotkb/P10646/entry
IL2RA	IL2RA	Mapeado	P01589	IL2RA_HUMAN	Swiss-Prot (Reviewed)	Interleukin-2 receptor subunit alpha	IL2RA		272	https://www.uniprot.org/uniprotkb/P01589/entry
FOSL2	FOSL2	Mapeado	P15408	FOSL2_HUMAN	Swiss-Prot (Reviewed)	Fos-related antigen 2	FOSL2	FRA2	326	https://www.uniprot.org/uniprotkb/P15408/entry
DYSF	DYSF	Mapeado	O75923	DYSF_HUMAN	Swiss-Prot (Reviewed)	Dysferlin	DYSF	FER1L1	2080	https://www.uniprot.org/uniprotkb/O75923/entry
LILRA5	LILRA5	Mapeado	A6NI73	LIRA5_HUMAN	Swiss-Prot (Reviewed)	Leukocyte immunoglobulin-like receptor subfamily A member 5	LILRA5	ILT11, LILRB7, LIR9	299	https://www.uniprot.org/uniprotkb/A6NI73/entry
STIM1	STIM1	Mapeado	Q13586	STIM1_HUMAN	Swiss-Prot (Reviewed)	Stromal interaction molecule 1	STIM1	GOK	685	https://www.uniprot.org/uniprotkb/Q13586/entry
ATXN2L	ATXN2L	Mapeado	Q8WWM7	ATX2L_HUMAN	Swiss-Prot (Reviewed)	Ataxin-2-like protein	ATXN2L	A2D, A2LG, A2LP, A2RP	1075	https://www.uniprot.org/uniprotkb/Q8WWM7/entry
IGF2	IGF2	Mapeado	P01344	IGF2_HUMAN	Swiss-Prot (Reviewed)	Insulin-like growth factor 2	IGF2	IGF-2	180	https://www.uniprot.org/uniprotkb/P01344/entry
WWOX	WWOX	Mapeado	Q9NZC7	WWOX_HUMAN	Swiss-Prot (Reviewed)	WW domain-containing oxidoreductase	WWOX	FOR, SDR41C1, WOX1	414	https://www.uniprot.org/uniprotkb/Q9NZC7/entry
DUSP4	DUSP4	Mapeado	Q13115	DUS4_HUMAN	Swiss-Prot (Reviewed)	Dual specificity protein phosphatase 4	DUSP4	MKP2, VH2	394	https://www.uniprot.org/uniprotkb/Q13115/entry
DDIT3	DDIT3	Mapeado	P35638	DDIT3_HUMAN	Swiss-Prot (Reviewed)	DNA damage-inducible transcript 3 protein	DDIT3	CHOP, CHOP10, GADD153	169	https://www.uniprot.org/uniprotkb/P35638/entry
SUOX	SUOX	Mapeado	P51687	SUOX_HUMAN	Swiss-Prot (Reviewed)	Sulfite oxidase, mitochondrial	SUOX		545	https://www.uniprot.org/uniprotkb/P51687/entry
OSMR	OSMR	Mapeado	Q99650	OSMR_HUMAN	Swiss-Prot (Reviewed)	Oncostatin-M-specific receptor subunit beta	OSMR	OSMRB	979	https://www.uniprot.org/uniprotkb/Q99650/entry
PER1	PER1	Mapeado	O15534	PER1_HUMAN	Swiss-Prot (Reviewed)	Period circadian protein homolog 1	PER1	KIAA0482, PER, RIGUI	1290	https://www.uniprot.org/uniprotkb/O15534/entry
ITGA2B	ITGA2B	Mapeado	P08514	ITA2B_HUMAN	Swiss-Prot (Reviewed)	Integrin alpha-IIb	ITGA2B	GP2B, ITGAB	1039	https://www.uniprot.org/uniprotkb/P08514/entry
ANKRD55	ANKRD55	Mapeado	Q3KP44	ANR55_HUMAN	Swiss-Prot (Reviewed)	Ankyrin repeat domain-containing protein 55	ANKRD55		614	https://www.uniprot.org/uniprotkb/Q3KP44/entry
ZMIZ1	ZMIZ1	Mapeado	Q9ULJ6	ZMIZ1_HUMAN	Swiss-Prot (Reviewed)	Zinc finger MIZ domain-containing protein 1	ZMIZ1	KIAA1224, RAI17, ZIMP10	1067	https://www.uniprot.org/uniprotkb/Q9ULJ6/entry
LRRK2	LRRK2	Mapeado	Q5S007	LRRK2_HUMAN	Swiss-Prot (Reviewed)	Leucine-rich repeat serine/threonine-protein kinase 2	LRRK2	PARK8	2527	https://www.uniprot.org/uniprotkb/Q5S007/entry
INS-IGF2	INS-IGF2	Mapeado	F8WCM5	INSR2_HUMAN	Swiss-Prot (Reviewed)	Insulin, isoform 2	INS-IGF2		200	https://www.uniprot.org/uniprotkb/F8WCM5/entry
ERAP2	ERAP2	Mapeado	Q6P179	ERAP2_HUMAN	Swiss-Prot (Reviewed)	Endoplasmic reticulum aminopeptidase 2	ERAP2	LRAP	960	https://www.uniprot.org/uniprotkb/Q6P179/entry
FCGR1A	FCGR1A	Mapeado	P12314	FCGR1_HUMAN	Swiss-Prot (Reviewed)	High affinity immunoglobulin gamma Fc receptor I	FCGR1A	FCG1, FCGR1, IGFR1	374	https://www.uniprot.org/uniprotkb/P12314/entry
CMTM2	CMTM2	Mapeado	Q8TAZ6	CKLF2_HUMAN	Swiss-Prot (Reviewed)	CKLF-like MARVEL transmembrane domain-containing protein 2	CMTM2	CKLFSF2	248	https://www.uniprot.org/uniprotkb/Q8TAZ6/entry
CD8B	CD8B	Mapeado	P10966	CD8B_HUMAN	Swiss-Prot (Reviewed)	T-cell surface glycoprotein CD8 beta chain	CD8B	CD8B1	210	https://www.uniprot.org/uniprotkb/P10966/entry
BEND2	BEND2	Mapeado	Q8NDZ0	BEND2_HUMAN	Swiss-Prot (Reviewed)	BEN domain-containing protein 2	BEND2	CXorf20	799	https://www.uniprot.org/uniprotkb/Q8NDZ0/entry
IGF2-AS	IGF2-AS	Mapeado	Q6U949	IG2AS_HUMAN	Swiss-Prot (Reviewed)	Putative insulin-like growth factor 2 antisense gene protein	IGF2-AS	IGF2-AS1, IGF2AS	168	https://www.uniprot.org/uniprotkb/Q6U949/entry
LURAP1L	LURAP1L	Mapeado	Q8IV03	LUR1L_HUMAN	Swiss-Prot (Reviewed)	Leucine rich adaptor protein 1-like	LURAP1L	C9orf150	228	https://www.uniprot.org/uniprotkb/Q8IV03/entry
FAXDC2	FAXDC2	Mapeado	Q96IV6	FXDC2_HUMAN	Swiss-Prot (Reviewed)	Fatty acid hydroxylase domain-containing protein 2	FAXDC2	C5orf4	333	https://www.uniprot.org/uniprotkb/Q96IV6/entry
IL21-AS1	IL21-AS1	Não Encontrado no UniProtKB (Proteína)	-	-	-	Não codificante / miRNA / lncRNA / Pseudogene / Não encontrado	-	-	-	-
LURAP1L-AS1	LURAP1L-AS1	Não Encontrado no UniProtKB (Proteína)	-	-	-	Não codificante / miRNA / lncRNA / Pseudogene / Não encontrado	-	-	-	-
LINC01250	LINC01250	Não Encontrado no UniProtKB (Proteína)	-	-	-	Não codificante / miRNA / lncRNA / Pseudogene / Não encontrado	-	-	-	-
SCN1A	SCN1A	Mapeado	P35498	SCN1A_HUMAN	Swiss-Prot (Reviewed)	Sodium channel protein type 1 subunit alpha	SCN1A	NAC1, SCN1	2009	https://www.uniprot.org/uniprotkb/P35498/entry
ABCB11	ABCB11	Mapeado	O95342	ABCBB_HUMAN	Swiss-Prot (Reviewed)	Bile salt export pump	ABCB11	BSEP	1321	https://www.uniprot.org/uniprotkb/O95342/entry
FRZB	FRZB	Mapeado	Q92765	SFRP3_HUMAN	Swiss-Prot (Reviewed)	Secreted frizzled-related protein 3	FRZB	FIZ, FRE, FRP, FRZB1, SFRP3	325	https://www.uniprot.org/uniprotkb/Q92765/entry
GINS1	GINS1	Mapeado	Q14691	PSF1_HUMAN	Swiss-Prot (Reviewed)	DNA replication complex GINS protein PSF1	GINS1	KIAA0186, PSF1	196	https://www.uniprot.org/uniprotkb/Q14691/entry
TMPRSS11B	TMPRSS11B	Mapeado	Q86T26	TM11B_HUMAN	Swiss-Prot (Reviewed)	Transmembrane protease serine 11B	TMPRSS11B	HATL5	416	https://www.uniprot.org/uniprotkb/Q86T26/entry
EOMES	EOMES	Mapeado	O95936	EOMES_HUMAN	Swiss-Prot (Reviewed)	Eomesodermin homolog	EOMES	TBR2	686	https://www.uniprot.org/uniprotkb/O95936/entry
AIM2	AIM2	Mapeado	O14862	AIM2_HUMAN	Swiss-Prot (Reviewed)	Interferon-inducible protein AIM2	AIM2		343	https://www.uniprot.org/uniprotkb/O14862/entry
ICOS	ICOS	Mapeado	Q9Y6W8	ICOS_HUMAN	Swiss-Prot (Reviewed)	Inducible T-cell costimulator	ICOS	AILIM	199	https://www.uniprot.org/uniprotkb/Q9Y6W8/entry
CCL20	CCL20	Mapeado	P78556	CCL20_HUMAN	Swiss-Prot (Reviewed)	C-C motif chemokine 20	CCL20	LARC, MIP3A, SCYA20	96	https://www.uniprot.org/uniprotkb/P78556/entry
CLIC3	CLIC3	Mapeado	O95833	CLIC3_HUMAN	Swiss-Prot (Reviewed)	Chloride intracellular channel protein 3	CLIC3		236	https://www.uniprot.org/uniprotkb/O95833/entry
SLC7A11	SLC7A11	Mapeado	Q9UPY5	XCT_HUMAN	Swiss-Prot (Reviewed)	Cystine/glutamate transporter	SLC7A11		501	https://www.uniprot.org/uniprotkb/Q9UPY5/entry
TEK	TEK	Mapeado	Q02763	TIE2_HUMAN	Swiss-Prot (Reviewed)	Angiopoietin-1 receptor	TEK	TIE2, VMCM, VMCM1	1124	https://www.uniprot.org/uniprotkb/Q02763/entry
GBP1	GBP1	Mapeado	P32455	GBP1_HUMAN	Swiss-Prot (Reviewed)	Guanylate-binding protein 1	GBP1		592	https://www.uniprot.org/uniprotkb/P32455/entry
GBP3	GBP3	Mapeado	Q9H0R5	GBP3_HUMAN	Swiss-Prot (Reviewed)	Guanylate-binding protein 3	GBP3		595	https://www.uniprot.org/uniprotkb/Q9H0R5/entry
TTC39B	TTC39B	Mapeado	Q5VTQ0	TT39B_HUMAN	Swiss-Prot (Reviewed)	Tetratricopeptide repeat protein 39B	TTC39B	C9orf52	682	https://www.uniprot.org/uniprotkb/Q5VTQ0/entry
TNFRSF9	TNFRSF9	Mapeado	Q07011	TNR9_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor receptor superfamily member 9	TNFRSF9	CD137, ILA	255	https://www.uniprot.org/uniprotkb/Q07011/entry
TGFBR3	TGFBR3	Mapeado	Q03167	TGBR3_HUMAN	Swiss-Prot (Reviewed)	Transforming growth factor beta receptor type 3	TGFBR3		851	https://www.uniprot.org/uniprotkb/Q03167/entry
SPON2	SPON2	Mapeado	Q9BUD6	SPON2_HUMAN	Swiss-Prot (Reviewed)	Spondin-2	SPON2	DIL1	331	https://www.uniprot.org/uniprotkb/Q9BUD6/entry
CXCL10	CXCL10	Mapeado	P02778	CXL10_HUMAN	Swiss-Prot (Reviewed)	C-X-C motif chemokine 10	CXCL10	INP10, SCYB10	98	https://www.uniprot.org/uniprotkb/P02778/entry
CXCL13	CXCL13	Mapeado	O43927	CXL13_HUMAN	Swiss-Prot (Reviewed)	C-X-C motif chemokine 13	CXCL13	BCA1, BLC, SCYB13	109	https://www.uniprot.org/uniprotkb/O43927/entry
SLC2A3	SLC2A3	Mapeado	P11169	GTR3_HUMAN	Swiss-Prot (Reviewed)	Solute carrier family 2, facilitated glucose transporter member 3	SLC2A3	GLUT3	496	https://www.uniprot.org/uniprotkb/P11169/entry
HYAL4	HYAL4	Mapeado	Q2M3T9	HYAL4_HUMAN	Swiss-Prot (Reviewed)	Hyaluronidase-4	HYAL4		481	https://www.uniprot.org/uniprotkb/Q2M3T9/entry
CALD1	CALD1	Mapeado	Q05682	CALD1_HUMAN	Swiss-Prot (Reviewed)	Caldesmon	CALD1	CAD, CDM	793	https://www.uniprot.org/uniprotkb/Q05682/entry
OLR1	OLR1	Mapeado	P78380	OLR1_HUMAN	Swiss-Prot (Reviewed)	Oxidized low-density lipoprotein receptor 1	OLR1	CLEC8A, LOX1	273	https://www.uniprot.org/uniprotkb/P78380/entry
CSMD1	CSMD1	Mapeado	Q96PZ7	CSMD1_HUMAN	Swiss-Prot (Reviewed)	CUB and sushi domain-containing protein 1	CSMD1	KIAA1890	3564	https://www.uniprot.org/uniprotkb/Q96PZ7/entry
CCND1	CCND1	Mapeado	P24385	CCND1_HUMAN	Swiss-Prot (Reviewed)	G1/S-specific cyclin-D1	CCND1	BCL1, PRAD1	295	https://www.uniprot.org/uniprotkb/P24385/entry
DDX60	DDX60	Mapeado	Q8IY21	DDX60_HUMAN	Swiss-Prot (Reviewed)	Probable ATP-dependent RNA helicase DDX60	DDX60		1712	https://www.uniprot.org/uniprotkb/Q8IY21/entry
NRG1	NRG1	Mapeado	Q02297	NRG1_HUMAN	Swiss-Prot (Reviewed)	Pro-neuregulin-1, membrane-bound isoform	NRG1	GGF, HGL, HRGA, NDF, SMDF	640	https://www.uniprot.org/uniprotkb/Q02297/entry
TNFSF13B	TNFSF13B	Mapeado	Q9Y275	TN13B_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor ligand superfamily member 13B	TNFSF13B	BAFF, BLYS, TALL1, TNFSF20, ZTNF4	285	https://www.uniprot.org/uniprotkb/Q9Y275/entry
TLR3	TLR3	Mapeado	O15455	TLR3_HUMAN	Swiss-Prot (Reviewed)	Toll-like receptor 3	TLR3		904	https://www.uniprot.org/uniprotkb/O15455/entry
PLS1	PLS1	Mapeado	Q14651	PLSI_HUMAN	Swiss-Prot (Reviewed)	Plastin-1	PLS1		629	https://www.uniprot.org/uniprotkb/Q14651/entry
SAR1A	SAR1A	Mapeado	Q9NR31	SAR1A_HUMAN	Swiss-Prot (Reviewed)	Small COPII coat GTPase SAR1A	SAR1A	SAR1, SARA, SARA1	198	https://www.uniprot.org/uniprotkb/Q9NR31/entry
BTG1	BTG1	Mapeado	P62324	BTG1_HUMAN	Swiss-Prot (Reviewed)	Protein BTG1	BTG1		171	https://www.uniprot.org/uniprotkb/P62324/entry
CCL5	CCL5	Mapeado	P13501	CCL5_HUMAN	Swiss-Prot (Reviewed)	C-C motif chemokine 5	CCL5	D17S136E, SCYA5	91	https://www.uniprot.org/uniprotkb/P13501/entry
LMO7	LMO7	Mapeado	Q8WWI1	LMO7_HUMAN	Swiss-Prot (Reviewed)	LIM domain only protein 7	LMO7	FBX20, FBXO20, KIAA0858	1683	https://www.uniprot.org/uniprotkb/Q8WWI1/entry
GZMA	GZMA	Mapeado	P12544	GRAA_HUMAN	Swiss-Prot (Reviewed)	Granzyme A	GZMA	CTLA3, HFSP	262	https://www.uniprot.org/uniprotkb/P12544/entry
PSME2	PSME2	Mapeado	Q9UL46	PSME2_HUMAN	Swiss-Prot (Reviewed)	Proteasome activator complex subunit 2	PSME2		239	https://www.uniprot.org/uniprotkb/Q9UL46/entry
GJB6	GJB6	Mapeado	O95452	CXB6_HUMAN	Swiss-Prot (Reviewed)	Gap junction beta-6 protein	GJB6		261	https://www.uniprot.org/uniprotkb/O95452/entry
PLG	PLG	Mapeado	P00747	PLMN_HUMAN	Swiss-Prot (Reviewed)	Plasminogen	PLG		810	https://www.uniprot.org/uniprotkb/P00747/entry
EGR3	EGR3	Mapeado	Q06889	EGR3_HUMAN	Swiss-Prot (Reviewed)	Early growth response protein 3	EGR3	PILOT	387	https://www.uniprot.org/uniprotkb/Q06889/entry
PLIN5	PLIN5	Mapeado	Q00G26	PLIN5_HUMAN	Swiss-Prot (Reviewed)	Perilipin-5	PLIN5	LSDP5, OXPAT, PAT-1	463	https://www.uniprot.org/uniprotkb/Q00G26/entry
APOL6	APOL6	Mapeado	Q9BWW8	APOL6_HUMAN	Swiss-Prot (Reviewed)	Apolipoprotein L6	APOL6		343	https://www.uniprot.org/uniprotkb/Q9BWW8/entry
TMEM45A	TMEM45A	Mapeado	Q9NWC5	TM45A_HUMAN	Swiss-Prot (Reviewed)	Transmembrane protein 45A	TMEM45A	DERP7, DNAPTP4	275	https://www.uniprot.org/uniprotkb/Q9NWC5/entry
TNFAIP8	TNFAIP8	Mapeado	O95379	TFIP8_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor alpha-induced protein 8	TNFAIP8		198	https://www.uniprot.org/uniprotkb/O95379/entry
CD274	CD274	Mapeado	Q9NZQ7	PD1L1_HUMAN	Swiss-Prot (Reviewed)	Programmed cell death 1 ligand 1	CD274	B7H1, PDCD1L1, PDCD1LG1, PDL1	290	https://www.uniprot.org/uniprotkb/Q9NZQ7/entry
IFIT3	IFIT3	Mapeado	O14879	IFIT3_HUMAN	Swiss-Prot (Reviewed)	Interferon-induced protein with tetratricopeptide repeats 3	IFIT3	CIG-49, IFI60, IFIT4, ISG60	490	https://www.uniprot.org/uniprotkb/O14879/entry
MUCL1	MUCL1	Mapeado	Q96DR8	MUCL1_HUMAN	Swiss-Prot (Reviewed)	Mucin-like protein 1	MUCL1	SBEM	90	https://www.uniprot.org/uniprotkb/Q96DR8/entry
ZNF483	ZNF483	Mapeado	Q8TF39	ZN483_HUMAN	Swiss-Prot (Reviewed)	Zinc finger protein 483	ZNF483	KIAA1962, ZKSCAN16	744	https://www.uniprot.org/uniprotkb/Q8TF39/entry
TRIM22	TRIM22	Mapeado	Q8IYM9	TRI22_HUMAN	Swiss-Prot (Reviewed)	E3 ubiquitin-protein ligase TRIM22	TRIM22	RNF94, STAF50	498	https://www.uniprot.org/uniprotkb/Q8IYM9/entry
CLEC2B	CLEC2B	Mapeado	Q92478	CLC2B_HUMAN	Swiss-Prot (Reviewed)	C-type lectin domain family 2 member B	CLEC2B	AICL, CLECSF2, IFNRG1	149	https://www.uniprot.org/uniprotkb/Q92478/entry
S100P	S100P	Mapeado	P25815	S100P_HUMAN	Swiss-Prot (Reviewed)	Protein S100-P	S100P	S100E	95	https://www.uniprot.org/uniprotkb/P25815/entry
NABP1	NABP1	Mapeado	Q96AH0	SOSB2_HUMAN	Swiss-Prot (Reviewed)	SOSS complex subunit B2	NABP1	OBFC2A, SSB2	204	https://www.uniprot.org/uniprotkb/Q96AH0/entry
PSG2	PSG2	Mapeado	P11465	PSG2_HUMAN	Swiss-Prot (Reviewed)	Pregnancy-specific beta-1-glycoprotein 2	PSG2	PSBG2	335	https://www.uniprot.org/uniprotkb/P11465/entry
